date,open,high,low,close,index_value,daily_return,cumulative_return
2025-03-21,1918.01,1927.29,1827.8,1859.15,1859.15,-3.12,85.92
2025-03-24,1851.66,1889.26,1820.92,1865.02,1865.02,0.32,86.5
2025-03-25,1870.32,1880.45,1777.87,1790.6,1790.6,-3.99,79.06
2025-03-26,1787.39,1817.27,1773.34,1781.92,1781.92,-0.48,78.19
2025-03-27,1779.39,1828.48,1759.79,1777.03,1777.03,-0.27,77.7
2025-03-28,1772.81,1792.78,1746.13,1754.49,1754.49,-1.27,75.45
2025-03-31,1746.55,1781.46,1719.63,1761.88,1761.88,0.42,76.19
2025-04-01,1777.63,1802.35,1755.7,1766.71,1766.71,0.27,76.67
2025-04-02,1765.75,1803.05,1753.29,1769.88,1769.88,0.18,76.99
2025-04-03,1740.15,1790.18,1713.07,1750.15,1750.15,-1.11,75.02
2025-04-07,1617.68,1667.19,1488.74,1538.1,1538.1,-12.12,53.81
2025-04-08,1552.39,1583.12,1483.69,1518.89,1518.89,-1.25,51.89
2025-04-09,1484.72,1638.84,1453.27,1605.36,1605.36,5.69,60.54
2025-04-10,1664.01,1683.71,1607.54,1622.38,1622.38,1.06,62.24
2025-04-11,1616.7,1716.17,1596.69,1670.03,1670.03,2.94,67.0
2025-04-14,1693.23,1747.99,1656.02,1705.29,1705.29,2.11,70.53
2025-04-15,1693.67,1710.25,1658.57,1678.8,1678.8,-1.55,67.88
2025-04-16,1717.29,1731.6,1662.04,1694.42,1694.42,0.93,69.44
2025-04-17,1685.05,1761.79,1675.03,1728.71,1728.71,2.02,72.87
2025-04-18,1718.21,1740.78,1695.84,1718.4,1718.4,-0.6,71.84
2025-04-21,1745.26,1807.52,1726.62,1767.4,1767.4,2.85,76.74
2025-04-22,1762.22,1790.94,1734.48,1755.49,1755.49,-0.67,75.55
2025-04-23,1759.27,1791.26,1728.28,1764.29,1764.29,0.5,76.43
2025-04-24,1761.44,1780.77,1733.49,1751.31,1751.31,-0.74,75.13
2025-04-25,1754.22,1795.94,1733.93,1763.05,1763.05,0.67,76.31
2025-04-28,1755.27,1800.59,1725.42,1769.62,1769.62,0.37,76.96
2025-04-29,1761.15,1791.35,1737.95,1777.72,1777.72,0.46,77.77
2025-04-30,1767.71,1815.77,1755.82,1786.77,1786.77,0.51,78.68
2025-05-06,1796.77,1833.21,1770.48,1819.62,1819.62,1.84,81.96
2025-05-07,1854.02,1877.3,1810.18,1827.94,1827.94,0.46,82.79
2025-05-08,1818.92,1866.31,1799.97,1834.74,1834.74,0.37,83.47
2025-05-09,1823.27,1837.92,1791.23,1807.76,1807.76,-1.47,80.78
2025-05-12,1811.59,1835.65,1775.52,1795.87,1795.87,-0.66,79.59
2025-05-13,1814.91,1840.56,1789.32,1797.71,1797.71,0.1,79.77
2025-05-14,1829.04,1858.33,1792.42,1811.69,1811.69,0.78,81.17
2025-05-15,1808.37,1816.51,1765.13,1774.95,1774.95,-2.03,77.5
2025-05-16,1759.86,1788.35,1734.89,1763.36,1763.36,-0.65,76.34
2025-05-19,1763.04,1781.28,1736.42,1766.8,1766.8,0.2,76.68
2025-05-20,1765.65,1797.42,1755.54,1770.49,1770.49,0.21,77.05
2025-05-21,1767.32,1781.37,1735.45,1753.01,1753.01,-0.99,75.3
2025-05-22,1747.99,1772.03,1726.11,1737.99,1737.99,-0.86,73.8
2025-05-23,1733.01,1758.74,1705.95,1716.1,1716.1,-1.26,71.61
2025-05-26,1775.68,1797.82,1745.94,1771.64,1771.64,3.24,77.16
2025-05-27,1762.18,1774.67,1696.41,1706.99,1706.99,-3.65,70.7
2025-05-28,1677.04,1698.07,1654.33,1674.39,1674.39,-1.91,67.44
2025-05-29,1685.01,1716.62,1672.33,1699.69,1699.69,1.51,69.97
2025-05-30,1682.29,1699.74,1639.56,1681.32,1681.32,-1.08,68.13
2025-06-03,1668.5,1701.36,1657.21,1673.19,1673.19,-0.48,67.32
2025-06-04,1687.46,1747.65,1681.11,1717.28,1717.28,2.64,71.73
2025-06-05,1722.74,1790.26,1711.24,1771.19,1771.19,3.14,77.12
2025-06-06,1768.16,1807.5,1735.87,1772.28,1772.28,0.06,77.23
2025-06-09,1749.64,1784.84,1723.45,1763.86,1763.86,-0.48,76.39
2025-06-10,1724.83,1734.15,1672.5,1689.75,1689.75,-4.2,68.98
2025-06-11,1695.06,1722.86,1672.54,1682.73,1682.73,-0.42,68.27
2025-06-12,1679.12,1735.97,1660.39,1706.99,1706.99,1.44,70.7
2025-06-13,1686.19,1719.28,1671.68,1699.58,1699.58,-0.43,69.96
2025-06-16,1689.04,1747.81,1682.75,1708.44,1708.44,0.52,70.84
2025-06-17,1712.61,1736.97,1661.43,1691.61,1691.61,-0.99,69.16
2025-06-18,1689.99,1745.21,1672.81,1729.8,1729.8,2.26,72.98
2025-06-19,1723.4,1760.93,1710.15,1727.49,1727.49,-0.13,72.75
2025-06-20,1728.83,1741.31,1681.83,1702.53,1702.53,-1.44,70.25
2025-06-23,1687.54,1716.71,1661.07,1691.75,1691.75,-0.63,69.18
2025-06-24,1707.5,1769.89,1690.73,1743.21,1743.21,3.04,74.32
2025-06-25,1754.67,1779.37,1722.23,1763.87,1763.87,1.19,76.39
2025-06-26,1769.52,1825.59,1749.69,1771.66,1771.66,0.44,77.17
2025-06-27,1796.76,1833.76,1742.02,1783.61,1783.61,0.67,78.36
2025-06-30,1790.96,1845.3,1763.7,1810.61,1810.61,1.51,81.06
2025-07-01,1800.54,1836.78,1745.55,1768.21,1768.21,-2.34,76.82
2025-07-02,1756.23,1765.81,1712.27,1727.18,1727.18,-2.32,72.72
2025-07-03,1733.64,1764.67,1714.73,1740.11,1740.11,0.75,74.01
2025-07-04,1736.08,1768.57,1706.33,1730.08,1730.08,-0.58,73.01
2025-07-07,1720.37,1749.56,1693.49,1716.61,1716.61,-0.78,71.66
2025-07-08,1719.59,1765.2,1708.05,1754.86,1754.86,2.23,75.49
2025-07-09,1755.53,1771.43,1728.33,1738.91,1738.91,-0.91,73.89
2025-07-10,1707.28,1723.15,1668.81,1687.32,1687.32,-2.97,68.73
2025-07-11,1684.47,1741.63,1670.12,1717.01,1717.01,1.76,71.7
2025-07-14,1717.89,1752.52,1705.95,1732.46,1732.46,0.9,73.25
2025-07-15,1757.95,1806.58,1726.59,1782.98,1782.98,2.92,78.3
2025-07-16,1788.75,1867.68,1766.02,1814.99,1814.99,1.8,81.5
2025-07-17,1803.94,1857.33,1780.05,1845.99,1845.99,1.71,84.6
2025-07-18,1850.5,1887.4,1824.93,1837.44,1837.44,-0.46,83.74
2025-07-21,1843.14,1872.81,1811.56,1837.2,1837.2,-0.01,83.72
2025-07-22,1834.57,1881.51,1814.48,1836.63,1836.63,-0.03,83.66
2025-07-23,1823.12,1864.29,1806.15,1843.87,1843.87,0.39,84.39
2025-07-24,1849.47,1882.4,1820.47,1854.88,1854.88,0.6,85.49
2025-07-25,1853.97,1987.19,1847.58,1947.6,1947.6,5.0,94.76
2025-07-28,1948.22,1984.08,1909.62,1959.66,1959.66,0.62,95.97
2025-07-29,1960.72,2069.32,1953.14,2051.94,2051.94,4.71,105.19
2025-07-30,2030.93,2069.39,1988.03,2019.24,2019.24,-1.59,101.92
2025-07-31,2035.05,2134.19,2007.19,2049.04,2049.04,1.48,104.9
2025-08-01,2028.05,2080.6,1979.97,2008.09,2008.09,-2.0,100.81
2025-08-04,1991.77,2039.28,1969.08,2013.7,2013.7,0.28,101.37
2025-08-05,2025.58,2051.57,1979.61,2019.11,2019.11,0.27,101.91
2025-08-06,2003.23,2032.48,1986.62,2018.09,2018.09,-0.05,101.81
2025-08-07,2024.87,2084.47,1972.88,2021.61,2021.61,0.17,102.16
2025-08-08,2003.54,2033.84,1965.85,2001.26,2001.26,-1.01,100.13
2025-08-11,2003.06,2070.29,1997.65,2047.15,2047.15,2.29,104.72
2025-08-12,2047.39,2250.44,2029.27,2233.47,2233.47,9.1,123.35
2025-08-13,2218.79,2340.32,2193.11,2317.74,2317.74,3.77,131.77
2025-08-14,2311.75,2491.52,2290.66,2396.46,2396.46,3.4,139.65
2025-08-15,2362.87,2415.48,2327.3,2380.64,2380.64,-0.66,138.06
2025-08-18,2412.96,2521.7,2364.65,2451.27,2451.27,2.97,145.13
2025-08-19,2438.58,2569.08,2404.9,2465.09,2465.09,0.56,146.51
2025-08-20,2418.85,2582.85,2367.91,2564.49,2564.49,4.03,156.45
2025-08-21,2583.09,2693.42,2521.15,2592.05,2592.05,1.07,159.2
2025-08-22,2622.2,2923.11,2616.14,2908.14,2908.14,12.19,190.81
2025-08-25,3042.3,3221.65,2952.13,3165.7,3165.7,8.86,216.57
2025-08-26,3099.92,3172.08,3022.49,3085.84,3085.84,-2.52,208.58
2025-08-27,3159.85,3352.34,3085.27,3162.59,3162.59,2.49,216.26
2025-08-28,3201.21,3546.2,3159.26,3528.71,3528.71,11.58,252.87
2025-08-29,3401.0,3511.25,3282.51,3417.02,3417.02,-3.17,241.7
2025-09-01,3437.92,3645.48,3284.7,3539.92,3539.92,3.6,253.99
2025-09-02,3526.49,3678.09,3362.18,3453.48,3453.48,-2.44,245.35
2025-09-03,3394.58,3504.46,3283.04,3412.64,3412.64,-1.18,241.26
2025-09-04,3404.69,3452.27,2936.95,2984.46,2984.46,-12.55,198.45
2025-09-05,3022.0,3260.36,2922.13,3199.37,3199.37,7.2,219.94
2025-09-08,3139.7,3178.73,2943.7,3056.02,3056.02,-4.48,205.6
2025-09-09,3000.78,3121.67,2942.74,3027.97,3027.97,-0.92,202.8
2025-09-10,3128.92,3250.01,3058.83,3149.75,3149.75,4.02,214.98
2025-09-11,3209.36,3553.35,3179.12,3492.11,3492.11,10.87,249.21
2025-09-12,3447.31,3694.1,3403.78,3600.11,3600.11,3.09,260.01
2025-09-15,3617.7,3698.31,3460.07,3549.48,3549.48,-1.41,254.95
2025-09-16,3588.45,3757.71,3502.16,3600.26,3600.26,1.43,260.03
2025-09-17,3549.54,3660.81,3453.83,3596.72,3596.72,-0.1,259.67
2025-09-18,3657.81,3795.18,3470.7,3578.07,3578.07,-0.52,257.81
2025-09-19,3590.3,3694.68,3472.47,3546.89,3546.89,-0.87,254.69
2025-09-22,3534.17,3761.52,3437.37,3687.87,3687.87,3.97,268.79
2025-09-23,3750.52,3843.19,3553.23,3681.17,3681.17,-0.18,268.12
2025-09-24,3620.59,3817.97,3582.93,3730.68,3730.68,1.34,273.07
2025-09-25,3687.25,3863.13,3623.24,3775.11,3775.11,1.19,277.51
2025-09-26,3735.5,3834.67,3641.14,3650.66,3650.66,-3.3,265.07
2025-09-29,3646.22,3764.95,3558.12,3696.86,3696.86,1.27,269.69
2025-09-30,3816.1,3910.53,3659.56,3731.45,3731.45,0.94,273.14
2025-10-09,3860.25,3979.1,3736.71,3768.48,3768.48,0.99,276.85
2025-10-10,3703.22,3756.15,3517.83,3575.49,3575.49,-5.12,257.55
2025-10-13,3413.38,3628.71,3396.67,3573.17,3573.17,-0.06,257.32
2025-10-14,3640.96,3668.93,3328.0,3352.95,3352.95,-6.16,235.3
2025-10-15,3373.54,3473.43,3300.17,3449.07,3449.07,2.87,244.91
2025-10-16,3448.72,3644.48,3433.22,3542.31,3542.31,2.7,254.23
2025-10-17,3515.62,3591.33,3395.46,3451.01,3451.01,-2.58,245.1
